COMUNE PROVENIENZA,STATO PROVENIENZA,PR PROVENIENZA,DATA
NOVENTA DI PIAVE,ITALIA,VE,2010-04-19
CAORLE,ITALIA,VE,2003-10-03
ZENSON DI PIAVE,ITALIA,TV,2008-01-07
RONCADE,ITALIA,TV,2011-12-16
ERACLEA,ITALIA,VE,2005-01-29
ERACLEA,ITALIA,VE,2007-08-14
SAN DONÀ DI PIAVE,ITALIA,VE,2008-08-21
ERACLEA,ITALIA,VE,2014-12-29
ERACLEA,ITALIA,VE,2015-04-09
ERACLEA,ITALIA,VE,2007-08-14
ERACLEA,ITALIA,VE,2007-08-14
NOVENTA PADOVANA,ITALIA,PD,2001-11-28
JESOLO,ITALIA,VE,2012-09-10
ERACLEA,ITALIA,VE,2007-01-17
ERACLEA,ITALIA,VE,2007-01-17
ERACLEA,ITALIA,VE,2007-01-17
JESOLO,ITALIA,VE,2012-09-10
ERACLEA,ITALIA,VE,2008-01-12
MILANO,ITALIA,MI,2019-03-22
CEGGIA,ITALIA,VE,2008-07-11
ODERZO,ITALIA,TV,2014-10-14
MUSILE DI PIAVE,ITALIA,VE,2012-01-26
MUSILE DI PIAVE,ITALIA,VE,2011-11-02
,VENEZUELA,,2015-01-23
MUSILE DI PIAVE,ITALIA,VE,2019-09-24
BOLOGNA,ITALIA,BO,2018-07-03
CAMPONOGARA,ITALIA,VE,2004-08-26
FOSSALTA DI PIAVE,ITALIA,VE,2014-08-13
SAN DONÀ DI PIAVE,ITALIA,VE,2002-10-17
SAN DONÀ DI PIAVE,ITALIA,VE,2010-10-20
SAN DONÀ DI PIAVE,ITALIA,VE,2018-07-02
ERACLEA,ITALIA,VE,2011-11-19
NOVENTA DI PIAVE,ITALIA,VE,2000-07-01
NOVENTA DI PIAVE,ITALIA,VE,2002-08-29
GORIZIA,ITALIA,GO,2009-08-10
MUSILE DI PIAVE,ITALIA,VE,2018-11-12
GORIZIA,ITALIA,GO,2011-09-21
SAN DONÀ DI PIAVE,ITALIA,VE,2018-10-01
SAN QUIRINO,ITALIA,PN,2001-09-01
SAN QUIRINO,ITALIA,PN,2001-09-01
NOVENTA DI PIAVE,ITALIA,VE,2017-12-21
PADOVA,ITALIA,PD,2014-09-01
SAN DONÀ DI PIAVE,ITALIA,VE,2018-11-14
PADOVA,ITALIA,PD,2014-08-30
SAN DONÀ DI PIAVE,ITALIA,VE,2004-07-10
LAVENA PONTE TRESA,ITALIA,VA,2000-11-21
SAN DONÀ DI PIAVE,ITALIA,VE,2010-03-16
SAN DONÀ DI PIAVE,ITALIA,VE,2016-12-30
MUSILE DI PIAVE,ITALIA,VE,2020-11-06
ERACLEA,ITALIA,VE,2014-04-17
MUSILE DI PIAVE,ITALIA,VE,2012-06-08
CEGGIA,ITALIA,VE,2006-12-27
,BRASILE,,2012-01-30
SAN DONÀ DI PIAVE,ITALIA,VE,2008-09-26
MUSILE DI PIAVE,ITALIA,VE,2012-06-08
MUSILE DI PIAVE,ITALIA,VE,2008-06-27
,BRASILE,,2012-01-30
SAN DONÀ DI PIAVE,ITALIA,VE,2014-07-23
JESOLO,ITALIA,VE,2006-08-22
VENEZIA,ITALIA,VE,2016-08-26
SAN DONÀ DI PIAVE,ITALIA,VE,2006-11-11
SAN DONÀ DI PIAVE,ITALIA,VE,2009-05-02
NOVENTA DI PIAVE,ITALIA,VE,2015-03-05
MEOLO,ITALIA,VE,2006-09-04
NOVENTA DI PIAVE,ITALIA,VE,2020-04-21
VENEZIA,ITALIA,VE,2017-12-11
SAN DONÀ DI PIAVE,ITALIA,VE,2017-12-24
NOVENTA DI PIAVE,ITALIA,VE,2003-10-08
SAN DONÀ DI PIAVE,ITALIA,VE,2012-09-21
SAN DONÀ DI PIAVE,ITALIA,VE,2010-02-18
ERACLEA,ITALIA,VE,2008-01-30
ERACLEA,ITALIA,VE,2019-06-01
JESOLO,ITALIA,VE,2020-01-14
MUSILE DI PIAVE,ITALIA,VE,2011-11-18
NOVENTA DI PIAVE,ITALIA,VE,2019-10-23
ERACLEA,ITALIA,VE,2015-05-28
ERACLEA,ITALIA,VE,2008-09-02
ERACLEA,ITALIA,VE,2008-10-16
ERACLEA,ITALIA,VE,2010-09-16
ERACLEA,ITALIA,VE,2015-05-28
MUSILE DI PIAVE,ITALIA,VE,2006-04-12
SAN DONÀ DI PIAVE,ITALIA,VE,2011-05-28
SAN DONÀ DI PIAVE,ITALIA,VE,2013-03-12
SANTO STINO DI LIVENZA,ITALIA,VE,2009-11-10
JESOLO,ITALIA,VE,2007-12-11
SAN DONÀ DI PIAVE,ITALIA,VE,2008-10-16
JESOLO,ITALIA,VE,2012-02-10
CAORLE,ITALIA,VE,2006-11-10
ERACLEA,ITALIA,VE,2010-03-30
ERACLEA,ITALIA,VE,2004-01-28
SAN DONÀ DI PIAVE,ITALIA,VE,2000-04-11
JESOLO,ITALIA,VE,2008-04-23
ERACLEA,ITALIA,VE,2005-04-21
ERACLEA,ITALIA,VE,2004-08-20
MUSILE DI PIAVE,ITALIA,VE,2011-11-18
ERACLEA,ITALIA,VE,2008-10-16
SAN DONÀ DI PIAVE,ITALIA,VE,2000-08-08
SAN DONÀ DI PIAVE,ITALIA,VE,2006-01-08
SAN DONÀ DI PIAVE,ITALIA,VE,2010-07-30
NOVENTA DI PIAVE,ITALIA,VE,2002-12-09
CAMPONOGARA,ITALIA,VE,2019-12-09
SAN DONÀ DI PIAVE,ITALIA,VE,2004-06-06
SAN DONÀ DI PIAVE,ITALIA,VE,2002-12-18
SAN DONÀ DI PIAVE,ITALIA,VE,2018-02-01
JESOLO,ITALIA,VE,2013-05-13
SAN DONÀ DI PIAVE,ITALIA,VE,2015-12-16
SAN DONÀ DI PIAVE,ITALIA,VE,2016-12-23
SAN DONÀ DI PIAVE,ITALIA,VE,2005-11-16
NOVENTA DI PIAVE,ITALIA,VE,2019-11-05
JESOLO,ITALIA,VE,2002-06-24
SAN DONÀ DI PIAVE,ITALIA,VE,2002-12-27
SAN DONÀ DI PIAVE,ITALIA,VE,2020-04-04
MUSILE DI PIAVE,ITALIA,VE,2020-01-04
SAN DONÀ DI PIAVE,ITALIA,VE,2004-01-22
TORRE DI MOSTO,ITALIA,VE,2016-05-05
ZERO BRANCO,ITALIA,TV,2011-02-08
MUSILE DI PIAVE,ITALIA,VE,2011-10-29
CESSALTO,ITALIA,TV,2020-05-18
CAORLE,ITALIA,VE,2017-05-20
MOGLIANO VENETO,ITALIA,TV,2013-09-16
CEGGIA,ITALIA,VE,2008-07-18
CEGGIA,ITALIA,VE,2008-07-18
TRENTO,ITALIA,TN,2011-05-13
SAN DONÀ DI PIAVE,ITALIA,VE,2003-12-06
SAN DONÀ DI PIAVE,ITALIA,VE,2003-12-06
SAN DONÀ DI PIAVE,ITALIA,VE,2020-10-17
BOLOGNA,ITALIA,BO,2013-12-02
BOLOGNA,ITALIA,BO,2013-12-16
SANTO STINO DI LIVENZA,ITALIA,VE,2004-08-19
SAN DONÀ DI PIAVE,ITALIA,VE,2000-12-12
SAN DONÀ DI PIAVE,ITALIA,VE,2006-02-01
JESOLO,ITALIA,VE,2020-01-18
SAN STINO DI LIVENZA,ITALIA,VE,2016-04-02
MUSILE DI PIAVE,ITALIA,VE,2007-07-30
SAN DONÀ DI PIAVE,ITALIA,VE,2002-04-22
FOSSALTA DI PIAVE,ITALIA,VE,2020-03-31
SAN DONÀ DI PIAVE,ITALIA,VE,2019-12-05
JESOLO,ITALIA,VE,2008-12-06
SAN DONÀ DI PIAVE,ITALIA,VE,2000-05-05
FOSSALTA DI PIAVE,ITALIA,VE,2006-02-23
SALGAREDA,ITALIA,TV,2005-08-08
FOSSALTA DI PIAVE,ITALIA,VE,2001-02-07
JESOLO,ITALIA,VE,2005-02-05
SAN DONÀ DI PIAVE,ITALIA,VE,2004-02-04
SANTO STINO DI LIVENZA,ITALIA,VE,2004-08-19
SANTO STINO DI LIVENZA,ITALIA,VE,2004-08-19
SAN STINO DI LIVENZA,ITALIA,VE,2015-08-08
MUSILE DI PIAVE,ITALIA,VE,2017-05-13
SAN STINO DI LIVENZA,ITALIA,VE,2015-08-08
SAN DONÀ DI PIAVE,ITALIA,VE,2001-03-07
MUSILE DI PIAVE,ITALIA,VE,2002-10-03
CEGGIA,ITALIA,VE,2016-02-18
FOSSALTA DI PIAVE,ITALIA,VE,2007-05-24
MIRA,ITALIA,VE,2015-04-09
CEGGIA,ITALIA,VE,2013-09-20
SAN DONÀ DI PIAVE,ITALIA,VE,2008-12-30
JESOLO,ITALIA,VE,2020-01-18
MUSILE DI PIAVE,ITALIA,VE,2008-05-13
SAN DONÀ DI PIAVE,ITALIA,VE,2007-01-25
CAMPONOGARA,ITALIA,VE,2004-01-05
TORRE DI MOSTO,ITALIA,VE,2012-10-11
SAN DONÀ DI PIAVE,ITALIA,VE,2003-09-04
SAN DONÀ DI PIAVE,ITALIA,VE,2005-05-07
SAN DONÀ DI PIAVE,ITALIA,VE,2008-07-25
SAN DONÀ DI PIAVE,ITALIA,VE,2014-02-28
SPRESIANO,ITALIA,TV,2015-11-11
NOVENTA DI PIAVE,ITALIA,VE,2014-01-27
SAN DONÀ DI PIAVE,ITALIA,VE,2018-11-16
REGGELLO,ITALIA,FI,2019-03-30
,AUSTRIA,,2001-04-19
,AUSTRIA,,2001-04-19
MARCON,ITALIA,VE,2001-04-19
VENEZIA,ITALIA,VE,2002-08-26
CAORLE,ITALIA,VE,2000-05-27
SAN DONÀ DI PIAVE,ITALIA,VE,2004-04-16
NOVENTA DI PIAVE,ITALIA,VE,2013-04-23
SAN DONÀ DI PIAVE,ITALIA,VE,2020-08-25
SAN DONÀ DI PIAVE,ITALIA,VE,2006-01-14
SAN DONÀ DI PIAVE,ITALIA,VE,2005-11-12
MONTEBELLUNA,ITALIA,TV,2018-04-17
NOVENTA DI PIAVE,ITALIA,VE,2017-07-07
VENEZIA,ITALIA,VE,2006-01-03
,FEDERAZIONE RUSSA,,2019-08-31
SPRESIANO,ITALIA,TV,2005-11-17
SAN DONÀ DI PIAVE,ITALIA,VE,2015-01-05
CEGGIA,ITALIA,VE,2008-09-04
MARIGLIANO,ITALIA,NA,2001-12-18
SAN DONÀ DI PIAVE,ITALIA,VE,2009-08-04
SAN DONÀ DI PIAVE,ITALIA,VE,2004-06-08
SAN DONÀ DI PIAVE,ITALIA,VE,2001-10-12
JESOLO,ITALIA,VE,2019-02-15
SAN GIOVANNI AL NATISONE,ITALIA,UD,2011-04-18
VENEZIA,ITALIA,VE,2004-08-13
PUOS D'ALPAGO,ITALIA,BL,2006-09-30
JESOLO,ITALIA,VE,2009-04-01
SAN DONÀ DI PIAVE,ITALIA,VE,2006-02-06
SAN GIULIANO MILANESE,ITALIA,MI,2019-03-15
MAMMOLA,ITALIA,RC,2016-07-25
ERACLEA,ITALIA,VE,2007-06-16
QUARTO D'ALTINO,ITALIA,VE,2012-10-09
SAN DONÀ DI PIAVE,ITALIA,VE,2016-11-27
SAN DONÀ DI PIAVE,ITALIA,VE,2004-11-03
SILEA,ITALIA,TV,2007-10-11
SAN DONÀ DI PIAVE,ITALIA,VE,2019-08-30
SILEA,ITALIA,TV,2007-10-11
JESOLO,ITALIA,VE,2009-07-17
MUSILE DI PIAVE,ITALIA,VE,2008-12-31
SAN DONÀ DI PIAVE,ITALIA,VE,2004-05-03
VENEZIA,ITALIA,VE,2005-04-12
PADOVA,ITALIA,PD,2017-06-13
NOVENTA DI PIAVE,ITALIA,VE,2014-10-14
FOSSALTA DI PIAVE,ITALIA,VE,2014-01-18
CEGGIA,ITALIA,VE,2015-06-30
SAN DONÀ DI PIAVE,ITALIA,VE,2002-08-27
ERACLEA,ITALIA,VE,2000-05-12
MUSILE DI PIAVE,ITALIA,VE,2016-09-10
SAN DONÀ DI PIAVE,ITALIA,VE,2005-08-22
SAN DONÀ DI PIAVE,ITALIA,VE,2013-02-26
SAN BIAGIO DI CALLALTA,ITALIA,TV,2010-04-07
ERACLEA,ITALIA,VE,2002-06-21
,REGNO UNITO,,2018-12-24
SAN DONÀ DI PIAVE,ITALIA,VE,2017-09-18
NOVENTA DI PIAVE,ITALIA,VE,2016-12-09
SAN DONÀ DI PIAVE,ITALIA,VE,2018-03-19
SAN DONÀ DI PIAVE,ITALIA,VE,2007-02-13
RONCADE,ITALIA,TV,2018-03-09
CAVALLINO-TREPORTI,ITALIA,VE,2015-02-12
MUSILE DI PIAVE,ITALIA,VE,2011-09-15
MUSILE DI PIAVE,ITALIA,VE,2006-07-14
SAN DONÀ DI PIAVE,ITALIA,VE,2006-12-17
SAN DONÀ DI PIAVE,ITALIA,VE,2017-11-26
SAN DONÀ DI PIAVE,ITALIA,VE,2008-07-25
TRIESTE,ITALIA,TS,2015-02-04
ERACLEA,ITALIA,VE,2018-02-28
NOVENTA DI PIAVE,ITALIA,VE,2016-07-26
CEGGIA,ITALIA,VE,2016-04-09
SAN DONÀ DI PIAVE,ITALIA,VE,2002-08-02
NOVENTA DI PIAVE,ITALIA,VE,2001-10-27
MILANO,ITALIA,MI,2000-09-01
ERACLEA,ITALIA,VE,2000-05-12
SAN DONÀ DI PIAVE,ITALIA,VE,2001-12-15
SAN DONÀ DI PIAVE,ITALIA,VE,2013-08-21
SAN DONÀ DI PIAVE,ITALIA,VE,2008-08-16
SAN DONÀ DI PIAVE,ITALIA,VE,2010-05-01
SAN DONÀ DI PIAVE,ITALIA,VE,2003-08-22
COMACCHIO,ITALIA,FE,2007-02-22
SAN DONÀ DI PIAVE,ITALIA,VE,2000-05-05
CEGGIA,ITALIA,VE,2016-05-19
ERACLEA,ITALIA,VE,2019-10-04
ERACLEA,ITALIA,VE,2020-10-28
MUSILE DI PIAVE,ITALIA,VE,2016-06-30
SAN DONÀ DI PIAVE,ITALIA,VE,2011-08-19
SAN DONÀ DI PIAVE,ITALIA,VE,2008-05-22
SAN DONÀ DI PIAVE,ITALIA,VE,2011-04-26
FOSSALTA DI PORTOGRUARO,ITALIA,VE,2018-09-26
NOVENTA DI PIAVE,ITALIA,VE,2014-01-30
SAN DONÀ DI PIAVE,ITALIA,VE,2019-03-23
CEGGIA,ITALIA,VE,2015-06-30
SAN DONÀ DI PIAVE,ITALIA,VE,2006-06-27
NOVENTA DI PIAVE,ITALIA,VE,2016-12-09
SAN DONÀ DI PIAVE,ITALIA,VE,2003-09-01
CEGGIA,ITALIA,VE,2016-04-09
NOVENTA DI PIAVE,ITALIA,VE,2016-12-09
FOSSALTA DI PIAVE,ITALIA,VE,2004-02-02
MUSILE DI PIAVE,ITALIA,VE,2004-05-06
SAN DONÀ DI PIAVE,ITALIA,VE,2005-05-16
MUSILE DI PIAVE,ITALIA,VE,2007-09-01
BOLZANO,ITALIA,BZ,2015-08-12
CAVALLINO-TREPORTI,ITALIA,VE,2015-02-12
SAN DONÀ DI PIAVE,ITALIA,VE,2003-06-28
SAN DONÀ DI PIAVE,ITALIA,VE,2016-04-08
NOVENTA DI PIAVE,ITALIA,VE,2015-04-27
SAN DONÀ DI PIAVE,ITALIA,VE,2003-07-16
CAVALLINO-TREPORTI,ITALIA,VE,2016-09-17
MARCON,ITALIA,VE,2019-05-21
ERACLEA,ITALIA,VE,2019-11-06
SAN DONÀ DI PIAVE,ITALIA,VE,2014-09-09
SAN DONÀ DI PIAVE,ITALIA,VE,2011-03-17
SAN DONÀ DI PIAVE,ITALIA,VE,2018-10-06
MUSILE DI PIAVE,ITALIA,VE,2017-09-09
SAN DONÀ DI PIAVE,ITALIA,VE,2016-09-10
SAN DONÀ DI PIAVE,ITALIA,VE,2009-08-08
MUSILE DI PIAVE,ITALIA,VE,2002-12-24
JESOLO,ITALIA,VE,2018-09-03
,BANGLADESH,,2009-04-14
SAN DONÀ DI PIAVE,ITALIA,VE,2015-05-30
MUSILE DI PIAVE,ITALIA,VE,2020-06-22
NOVENTA DI PIAVE,ITALIA,VE,2004-07-29
SAN DONÀ DI PIAVE,ITALIA,VE,2011-08-25
ERACLEA,ITALIA,VE,2020-07-31
MUSILE DI PIAVE,ITALIA,VE,2014-10-29
MUSILE DI PIAVE,ITALIA,VE,2015-10-24
MUSILE DI PIAVE,ITALIA,VE,2013-10-12
MUSILE DI PIAVE,ITALIA,VE,2003-08-18
SAN DONÀ DI PIAVE,ITALIA,VE,2015-06-03
MOGLIANO VENETO,ITALIA,TV,2008-01-28
SAN DONÀ DI PIAVE,ITALIA,VE,2018-08-29
SANTO STINO DI LIVENZA,ITALIA,VE,2001-01-02
ERACLEA,ITALIA,VE,2015-08-08
SAN DONÀ DI PIAVE,ITALIA,VE,2019-07-07
ERACLEA,ITALIA,VE,2009-05-25
MUSILE DI PIAVE,ITALIA,VE,2011-02-10
MUSILE DI PIAVE,ITALIA,VE,2019-03-11
NOVENTA DI PIAVE,ITALIA,VE,2004-07-29
SAN DONÀ DI PIAVE,ITALIA,VE,2018-08-26
MUSILE DI PIAVE,ITALIA,VE,2003-08-18
ERACLEA,ITALIA,VE,2014-08-13
ERACLEA,ITALIA,VE,2011-08-02
MUSILE DI PIAVE,ITALIA,VE,2003-12-10
ERACLEA,ITALIA,VE,2020-04-16
ERACLEA,ITALIA,VE,2005-09-24
ERACLEA,ITALIA,VE,2012-05-31
MUSILE DI PIAVE,ITALIA,VE,2008-11-25
PORTOGRUARO,ITALIA,VE,2006-01-03
CEGGIA,ITALIA,VE,2019-01-18
SAN DONÀ DI PIAVE,ITALIA,VE,2011-07-19
VALGUARNERA CAROPEPE,ITALIA,EN,2005-01-07
PATTI,ITALIA,ME,2005-12-05
FONDACHELLI-FANTINA,ITALIA,ME,2005-12-03
MOGLIANO VENETO,ITALIA,TV,2006-01-31
SAN DONÀ DI PIAVE,ITALIA,VE,2009-10-26
SAN DONÀ DI PIAVE,ITALIA,VE,2013-10-20
ERACLEA,ITALIA,VE,2005-09-19
SAN DONÀ DI PIAVE,ITALIA,VE,2017-02-09
POZZOLO FORMIGARO,ITALIA,AL,2005-01-08
ROMA,ITALIA,RM,2008-12-17
MUSILE DI PIAVE,ITALIA,VE,2016-10-31
SAN DONÀ DI PIAVE,ITALIA,VE,2006-11-12
FOSSALTA DI PIAVE,ITALIA,VE,2018-04-26
SAN DONÀ DI PIAVE,ITALIA,VE,2017-03-17
JESOLO,ITALIA,VE,2001-11-24
MUSILE DI PIAVE,ITALIA,VE,2020-05-11
MUSILE DI PIAVE,ITALIA,VE,2005-08-24
MUSILE DI PIAVE,ITALIA,VE,2003-08-13
VENEZIA,ITALIA,VE,2017-01-05
SAN DONÀ DI PIAVE,ITALIA,VE,2020-04-27
SAN DONÀ DI PIAVE,ITALIA,VE,2006-05-21
JESOLO,ITALIA,VE,2018-05-22
,ROMANIA,,2018-09-22
SAN DONÀ DI PIAVE,ITALIA,VE,2016-05-19
,ROMANIA,,2004-04-14
SAN DONÀ DI PIAVE,ITALIA,VE,2007-10-10
,ROMANIA,,2007-06-21
,ROMANIA,,2007-06-21
SAN BELLINO,ITALIA,RO,2020-02-01
FOSSALTA DI PIAVE,ITALIA,VE,2020-05-04
ERACLEA,ITALIA,VE,2008-09-22
SAN DONÀ DI PIAVE,ITALIA,VE,2006-11-27
SAN DONÀ DI PIAVE,ITALIA,VE,2009-09-08
ERACLEA,ITALIA,VE,2008-09-22
SAN DONÀ DI PIAVE,ITALIA,VE,2008-06-27
SAN DONÀ DI PIAVE,ITALIA,VE,2013-06-22
ERACLEA,ITALIA,VE,2004-06-30
ERACLEA,ITALIA,VE,2019-04-05
ERACLEA,ITALIA,VE,2019-04-08
SAN DONÀ DI PIAVE,ITALIA,VE,2002-04-05
SAN DONÀ DI PIAVE,ITALIA,VE,2015-06-07
PALERMO,ITALIA,PA,2001-03-15
LENTINI,ITALIA,SR,2014-03-10
ERACLEA,ITALIA,VE,2000-06-07
,INDONESIA,,2000-10-05
MUSILE DI PIAVE,ITALIA,VE,2010-06-01
NAPOLI,ITALIA,NA,2000-06-22
ARIENZO,ITALIA,CE,2019-09-27
CEGGIA,ITALIA,VE,2020-10-13
NOVENTA DI PIAVE,ITALIA,VE,2002-11-23
SAN DONÀ DI PIAVE,ITALIA,VE,2013-03-31
NOVENTA DI PIAVE,ITALIA,VE,2011-07-04
FONTANAFREDDA,ITALIA,PN,2002-10-08
TREVISO,ITALIA,TV,2012-03-14
MUSILE DI PIAVE,ITALIA,VE,2014-09-10
ZENSON DI PIAVE,ITALIA,TV,2005-05-24
SAN DONÀ DI PIAVE,ITALIA,VE,2002-12-11
NOVENTA DI PIAVE,ITALIA,VE,2018-03-06
SAN DONÀ DI PIAVE,ITALIA,VE,2013-01-09
SAN DONÀ DI PIAVE,ITALIA,VE,2005-12-14
SAN DONÀ DI PIAVE,ITALIA,VE,2004-07-26
MUSILE DI PIAVE,ITALIA,VE,2007-11-19
SALGAREDA,ITALIA,TV,2001-11-22
NOVENTA DI PIAVE,ITALIA,VE,2014-11-15
NOVENTA DI PIAVE,ITALIA,VE,2020-09-11
MUSILE DI PIAVE,ITALIA,VE,2013-04-19
MUSILE DI PIAVE,ITALIA,VE,2013-04-19
MUSILE DI PIAVE,ITALIA,VE,2013-04-19
SAN DONÀ DI PIAVE,ITALIA,VE,2015-11-03
SAN DONÀ DI PIAVE,ITALIA,VE,2004-04-03
JESOLO,ITALIA,VE,2007-05-28
MARCON,ITALIA,VE,2010-10-02
NOVENTA DI PIAVE,ITALIA,VE,2005-04-29
MUSILE DI PIAVE,ITALIA,VE,2006-10-05
ALLISTE,ITALIA,LE,2000-05-04
MUSILE DI PIAVE,ITALIA,VE,2018-08-04
JESOLO,ITALIA,VE,2019-11-23
SANTO STINO DI LIVENZA,ITALIA,VE,2003-02-14
CEGGIA,ITALIA,VE,2003-04-14
DOBBIACO,ITALIA,BZ,2017-05-25
SAN DONÀ DI PIAVE,ITALIA,VE,2009-03-27
SAN DONÀ DI PIAVE,ITALIA,VE,2015-07-11
SAN DONÀ DI PIAVE,ITALIA,VE,2005-04-07
PALERMO,ITALIA,PA,2002-01-03
BAGHERIA,ITALIA,PA,2000-07-15
PALERMO,ITALIA,PA,2001-10-18
ARCADE,ITALIA,TV,2009-11-07
PALERMO,ITALIA,PA,2001-11-27
SAN DONÀ DI PIAVE,ITALIA,VE,2013-01-30
SAN DONÀ DI PIAVE,ITALIA,VE,2016-10-12
SAN DONÀ DI PIAVE,ITALIA,VE,2020-08-23
LEFFE,ITALIA,BG,2012-04-02
CEGGIA,ITALIA,VE,2001-11-26
SAN DONÀ DI PIAVE,ITALIA,VE,2008-07-26
CASTAGNOLE MONFERRATO,ITALIA,AT,2020-01-03
SAN VITO DI CADORE,ITALIA,BL,2007-09-14
AGLIANO TERME,ITALIA,AT,2004-07-24
SAN DONÀ DI PIAVE,ITALIA,VE,2015-06-27
SAN DONÀ DI PIAVE,ITALIA,VE,2015-06-27
ACRI,ITALIA,CS,2012-10-09
SANTO STINO DI LIVENZA,ITALIA,VE,2009-08-19
CEGGIA,ITALIA,VE,2012-12-13
NOVENTA DI PIAVE,ITALIA,VE,2007-10-11
CAORLE,ITALIA,VE,2012-05-21
CHIOGGIA,ITALIA,VE,2018-05-05
NOVENTA DI PIAVE,ITALIA,VE,2016-01-23
CEGGIA,ITALIA,VE,2016-03-07
VEDELAGO,ITALIA,TV,2019-01-05
SAN DONÀ DI PIAVE,ITALIA,VE,2002-11-07
CASORIA,ITALIA,NA,2006-07-05
ENNA,ITALIA,EN,2018-10-31
SALERNO,ITALIA,SA,2005-10-31
VENEZIA,ITALIA,VE,2009-01-03
RONCADE,ITALIA,TV,2002-05-04
JESOLO,ITALIA,VE,2009-04-01
SAN DONÀ DI PIAVE,ITALIA,VE,2005-09-13
MUSILE DI PIAVE,ITALIA,VE,2005-06-13
TRIESTE,ITALIA,TS,2013-06-17
MUSILE DI PIAVE,ITALIA,VE,2003-07-15
SAN GIOVANNI ILARIONE,ITALIA,VR,2006-11-16
SAN DONÀ DI PIAVE,ITALIA,VE,2002-05-22
CERIGNOLA,ITALIA,FG,2009-07-06
SAN DONÀ DI PIAVE,ITALIA,VE,2006-04-13
SAN DONÀ DI PIAVE,ITALIA,VE,2005-12-23
CERIGNOLA,ITALIA,FG,2009-07-06
MEOLO,ITALIA,VE,2000-03-02
SALZANO,ITALIA,VE,2006-09-02
MIRA,ITALIA,VE,2009-07-06
SAN DONÀ DI PIAVE,ITALIA,VE,2002-05-25
JESOLO,ITALIA,VE,2015-09-18
ERACLEA,ITALIA,VE,2000-10-10
ERACLEA,ITALIA,VE,2011-07-11
SAN DONÀ DI PIAVE,ITALIA,VE,2007-09-15
SAN DONÀ DI PIAVE,ITALIA,VE,2019-09-26
FOSSALTA DI PIAVE,ITALIA,VE,2005-07-14
SAN DONÀ DI PIAVE,ITALIA,VE,2012-04-29
CATTOLICA ERACLEA,ITALIA,AG,2005-12-13
ERACLEA,ITALIA,VE,2011-05-21
SAN DONÀ DI PIAVE,ITALIA,VE,2011-12-29
SAN DONÀ DI PIAVE,ITALIA,VE,2009-06-10
SAN DONÀ DI PIAVE,ITALIA,VE,2018-11-25
SUSEGANA,ITALIA,TV,2000-04-03
SAN DONÀ DI PIAVE,ITALIA,VE,2004-10-26
,MOLDOVA,,2009-12-16
,MOLDOVA,,2008-04-09
,MOLDOVA,,2010-01-08
,MOLDOVA,,2009-12-16
,MOLDOVA,,2009-12-16
MUSILE DI PIAVE,ITALIA,VE,2014-10-30
ABBIATEGRASSO,ITALIA,MI,2007-07-24
ABBIATEGRASSO,ITALIA,MI,2007-08-20
MUSILE DI PIAVE,ITALIA,VE,2019-08-09
ESTE,ITALIA,PD,2017-04-27
PONTINIA,ITALIA,LT,2015-06-19
PONTINIA,ITALIA,LT,2015-06-19
PONTINIA,ITALIA,LT,2015-09-19
PAESE,ITALIA,TV,2018-08-06
PAESE,ITALIA,TV,2018-08-06
PAESE,ITALIA,TV,2018-08-06
PAESE,ITALIA,TV,2018-08-06
SAPONARA,ITALIA,ME,2018-07-28
,UCRAINA,,2014-01-10
LECCO,ITALIA,LC,2013-07-03
MUSILE DI PIAVE,ITALIA,VE,2016-03-30
MEOLO,ITALIA,VE,2018-08-13
MONASTIER DI TREVISO,ITALIA,TV,2004-10-23
CORCIANO,ITALIA,PG,2016-05-20
SAN DONÀ DI PIAVE,ITALIA,VE,2004-12-02
SAN BIAGIO DI CALLALTA,ITALIA,TV,2019-11-06
JESOLO,ITALIA,VE,2019-11-30
MUSILE DI PIAVE,ITALIA,VE,2013-04-29
SAN DONÀ DI PIAVE,ITALIA,VE,2000-02-03
ERACLEA,ITALIA,VE,2003-05-17
CAVALLINO-TREPORTI,ITALIA,VE,2010-01-21
OCCIMIANO,ITALIA,AL,2016-12-12
,COLOMBIA,,2006-06-21
SILEA,ITALIA,TV,2010-01-18
,REPUBBLICA DOMINICANA,,2019-11-02
CUNEO,ITALIA,CN,2015-06-22
MUSILE DI PIAVE,ITALIA,VE,2013-09-14
MUSILE DI PIAVE,ITALIA,VE,2006-03-17
MUSILE DI PIAVE,ITALIA,VE,2013-09-14
BOLZANO,ITALIA,BZ,2008-07-01
,COLOMBIA,,2006-10-09
,COLOMBIA,,2006-10-09
,COLOMBIA,,2006-10-09
,COLOMBIA,,2017-03-02
,POLONIA,,2006-05-31
FOSSALTA DI PIAVE,ITALIA,VE,2005-08-06
FOSSALTA DI PIAVE,ITALIA,VE,2005-08-06
BRINDISI,ITALIA,BR,2004-11-23
JESOLO,ITALIA,VE,2008-12-04
SAN DONÀ DI PIAVE,ITALIA,VE,2001-10-25
CASTELFRANCO VENETO,ITALIA,TV,2001-04-24
SALGAREDA,ITALIA,TV,2017-10-14
SAN DONÀ DI PIAVE,ITALIA,VE,2020-03-02
CAVRIAGO,ITALIA,RE,2002-12-09
CAVRIAGO,ITALIA,RE,2002-12-09
